Hanja,mean,sound,meanFiveElements,soundFiveElements
溢,"넘칠, 넘치다, 가득차다, 지나치다, 교만하다, 타이르다, 큰 물, 홍수, 한움큼 좋지않은 의미 문자 ",일,수,토화
衰,"쇠약할, 쇠하다 , 약하다 , 상옷 , 줄다, 도롱이 좋지않은 의미 문자 ",쇠,목,금
掩,"가려울, 가리다 , 숨기다 , 엄습하다 , 불의에 차다, 비호하다 좋지않은 의미 문자 ",엄,목,토수
冲,"화할, 화하다, 겸허하다, 담백하다 좋지않은 의미 문자 ",충,수,금토
胆,"어깨 벗을, 어깨 벗다 , 침 , 쓸개 , 담력 좋지않은 의미 문자 ",단,수,화
殑,"까무러칠, 까무러치다 , 유령이 나타나다 좋지않은 의미 문자 ",긍,수,목토
齠,"이 갈(이를 갈다), 이 갈다 , 배냇니를 갈다 , 영구치가 나다 , 이 갈 무렵의 칠팔 세 아이 좋지않은 의미 문자 ",초,금,금
硠,"돌 부딪는 소리, 돌이 부딪는 소리 , 우레 소리 , 단단하다 좋지않은 의미 문자 ",낭,금,화토
腎,"콩팥, 콩팥 , 자지(남성의 생식기) , 고환 좋지않은 의미 문자 ",신,수,금화
蘀,"낙엽, 낙엽 , 대껍질 , 갈대 잎 , 떨어지다 , 택사 좋지않은 의미 문자 ",탁,목,화목
霖,"장마, 장마(계속하여 내리는 비) 좋지않은 의미 문자 ",림,수,화수
逶,"구불구불 갈, 구불구불 가다 , 사물의 형용 좋지않은 의미 문자 ",위,토,토
陘,"지레목, 지레목(산줄기가 끊어진 곳) , 비탈 좋지않은 의미 문자 ",형,토,토
濘,"진창(질퍽한곳), 진창(땅이 질퍽질퍽) , 물이 끓는 모양 좋지않은 의미 문자 ",영,수,토
賤,"천할, 천하다, 천히 여기다 좋지않은 의미 문자 ",천,금,금화
嬲,"희롱할, 희롱하다 , 놀리다 , 어지럽게 하다 좋지않은 의미 문자 ",뇨,토,화
瘙,"피부병, 피부병 , 종기 , 부스럼 , 가렵다 좋지않은 의미 문자 ",소,수,금
睨,"곁눈질할, 곁눈질 하다, 노려보다 , 엿보다 , 기울다 좋지않은 의미 문자 ",예,목,토
屈,"굽을, 굽다, 굽히다, 다하다, 굳세다, 강하다 좋지않은 의미 문자 ",굴,토,목화
抨,"탄핵할, 탄핵하다 , ~로 하여금 ~하게 하다 , 스치다 , 쏘다, 하여금 좋지않은 의미 문자 ",평,목,수토
隳,"무너뜨릴, 무너뜨리다, 황폐해지다, 떨어지다 좋지않은 의미 문자 ",휴,토,토
很,"패려궂을, 패려궂다-언행이 거친 , 고집이센 좋지않은 의미 문자 ",흔,화,토화
