Hanja,mean,sound,meanFiveElements,soundFiveElements
冱,"얼, 얼다, 차다, 마르다, 굳다, 막다, 추위 좋지않은 의미 문자 ",호,수,토
悱,"표현 못할, 표현을 못하다 , 표현하려고 애쓰다 , 말이 나오지 아니하다 좋지않은 의미 문자 ",비,화,수
靠,"기댈,어긋날, 기대다 , 의지하다 , 어긋나다 , 배반하다 좋지않은 의미 문자 ",고,수,목
裸,"벗을, 벌거숭이, 벌거벗다 좋지않은 의미 문자 ",라,목,화
螢,"개똥벌레, 개똥벌레 좋지않은 의미 문자 ",형,수,토
訾,"헐뜯을, 헐뜯다 , 싫어하다 , 방자하다, 탄식하다 좋지않은 의미 문자 ",자,금,금
髭,"윗수염, 윗수염 , 코밑수염 , 머리 예쁘다 좋지않은 의미 문자 ",자,화,금
端,"끝, 바르다, 바로잡다, 실마리, 처음 시초, 끝, 근본, 찰찰하다 좋지않은 의미 문자 ",단,금,화
暵,"마를, 마르다 , 말리다 , 볕 내리쬐다 , 덥다 , 가물다 좋지않은 의미 문자 ",한,화,토화
噋,"느릿할, 느릿하다 , 일깨우다 좋지않은 의미 문자 ",톤,수,화
惉,"가락 어지러울, 가락 어지럽다 , 패다 , 번거로운 소리 좋지않은 의미 문자 ",첨,화,금수
捐,"버릴, 버리다, 덜다, 기부, 헌납 좋지않은 의미 문자 ",연,목,토화
齪,"악착할, 악착하다, 촉박한 모양 좋지않은 의미 문자 ",착,금,금목
韜,"감출, 느슨하다,칼전대 좋지않은 의미 문자 ",도,금,화
尤,"더욱, 더욱, 오히려, 허물, 원한, 훌륭한 사람, 으뜸 , 탓하다, 힐책하다 좋지않은 의미 문자 ",우,토,토
哇,"토할, 토하다, 뱉다 , 소리치다 , 울부짖다 , 음란 좋지않은 의미 문자 ",와,수,토
玩,"희롱할, 희롱하다, 장난하다 , 놀다, 사랑하다 , 익히다 , 업신여기다 좋지않은 의미 문자 ",완,금,토화
鯁,"생선 뼈, 생선의 뼈 , 재앙 ,박히다 , 바르다 , 곧다 좋지않은 의미 문자 ",경,수,목토
蝸,"달팽이, 달팽이 , 고둥 , 패류의 총칭 좋지않은 의미 문자 ",와,수,토
閏,"윤달, 윤달(이 들다) 좋지않은 의미 문자 ",윤,화,토화
痢,"설사, 설사 , 이질 , 곱똥 좋지않은 의미 문자 ",이,수,토
俔,"염탐할, 엿보다, 염탐군, 바람개비, 두려워하다 좋지않은 의미 문자 ",현,화,토화
癬,"옴, 옴 , 버짐 , 종기 좋지않은 의미 문자 ",선,수,금화
痺,"저릴, 저리다, 마비되다 좋지않은 의미 문자 ",비,수,수
鼢,"두더지, 두더지, 전서 좋지않은 의미 문자 ",분,목,수화
溺,"빠질, 빠지다, 빠뜨리다 좋지않은 의미 문자 ",닉,수,화목
瘉,"병 나을, 병이 낫다 , 낫다 , 뛰어나다 , 앓다, 해치다 좋지않은 의미 문자 ",유,수,토
醃,"절일, 절이다 , 김치 , 절인 채소 좋지않은 의미 문자 ",엄,금,토수
沐,"목욕, 머리를 감다, 다스리다, 목욕 좋지않은 의미 문자 ",목,수,수목
刎,"목 밸, 목을 베다, 목을 자르다 불용문자좋지않은 의미 문자 ",문,금,수화
斫,"벨, 베다, 자르다, 찍다, 어리석다, 무지하다, 치다, 때리다 좋지않은 의미 문자 ",작,금,금목
狼,"이리, 이리(산짐승), 어지럽다, 별 이름 좋지않은 의미 문자 ",낭,토,화토
吠,"짖을, 짖다, 개가 짖다 좋지않은 의미 문자 ",폐,수,수
嘆,"탄식할, 탄식하다, 한숨을 쉬다 歎과 同字 좋지않은 의미 문자 ",탄,수,화
儃,"머뭇거릴, 머뭇거리다, 고요하다 , 고요한 모양 , 멋대로, 찬찬하다 좋지않은 의미 문자 ",천,화,금화
倥,"어리석을, 어리석다 , 몽매하다 , 바쁘다 , 곤궁하다 , 괴롭다 좋지않은 의미 문자 ",공,화,목토
膚,"피부, 살갗, 겉껍질, 길이 좋지않은 의미 문자 ",부,수,수
偄,"연약할, 연약하다 , 속이다 , 공경하다 좋지않은 의미 문자 ",난,화,화
僵,"넘어질, 넘어지다, 넘어뜨리다 , 뻣뻣해지다 좋지않은 의미 문자 ",강,화,목토
傽,"두려워할, 두려워하다 , 놀라다 , 시숙 좋지않은 의미 문자 ",장,화,금토
罹,"걸릴,앓을, 병, 앓다 , 근심하다 , 근심 좋지않은 의미 문자 ",이,목,토
竄,"숨을, 숨다, 달아나다, 내치다 좋지않은 의미 문자 ",찬,수,금화
卻,"물리칠, 물리치다 , 물러나다 , 피하다, 돌아가다 , 그치다, 사양하다 좋지않은 의미 문자 ",각,금,목
偊,"혼자 걸을, 혼자 걷다 , 삼가다 , 몸을 구부린 모양 , 삼가는 모양 좋지않은 의미 문자 ",우,화,토
蛔,"회충, 회충,기생충 좋지않은 의미 문자 ",회,수,토
黹,"바느질할, 바느질하다 , 수놓다 , 수놓은 옷 좋지않은 의미 문자 ",초,토,금
蟬,"매미, 매미 , 잇다 연속하다 좋지않은 의미 문자 ",선,수,금화
蕨,"고사리, 고사리 좋지않은 의미 문자 ",궐,목,목화
蚓,"지렁이, 지렁이 좋지않은 의미 문자 ",인,수,토화
牚,"버틸, 버티다 , 버팀목 좋지않은 의미 문자 ",탱,금,화토
猘,"미친 개, 미친 개 , 거칠다 , 악하고 굳세다 , 미친개 좋지않은 의미 문자 ",제,토,금
黶,"사마귀, 사마귀 , 검다 , 검은 점 좋지않은 의미 문자 ",염,수,토수
亡,"망할, 망하다, 잃다, 멸하다, 달아나다, 죽(이)다, 업신여기다, 없다, 잊다(忘) 좋지않은 의미 문자 ",망,수,수토
疱,"물집, 마포(천연두) 좋지않은 의미 문자 ",포,수,수
庵,"암자, 암자(초막 불상을 모신 작은 집) 좋지않은 의미 문자 ",암,목,토수
切,"끊을, 끊다, 베다, 절박하다, 중요하다, 진맥하다, 문지방, 반절, 간절히 좋지않은 의미 문자 ",절,금,금화
警,"경계할, 경계(하다), 경비, 사변, 경보, 갈도(지위 높은 이가 다닐 때 행인을 금하는 일), 총민하다 좋지않은 의미 문자 ",경,금,목토
寖,"잠길, 잠기다 , 물 대다 , 쌓다 , 쌓이다 , 점점 좋지않은 의미 문자 ",침,목,금수
䗲,"반딧불, 반딧불 좋지않은 의미 문자 ",린,수,화
陀,"비탈질, 비탈지다 좋지않은 의미 문자 ",타,토,화
緍,"낚싯줄, 낚싯줄 , 돈꿰미 , 새 우는 소리 , 새끼줄 , 성하다 좋지않은 의미 문자 ",민,목,수화
何,"어찌,꾸짖을,멜, 어찌, 무엇, 어느 좋지않은 의미 문자 ",하,화,토성(姓)씨 사용
伐,"칠, 치다, 베다, 공, 자랑하다, 방패, 간 흙 좋지않은 의미 문자 ",벌,화,수화
憸,"간사할, 간사하다 , 교활하다 , 알랑거리다, 아첨하다 좋지않은 의미 문자 ",섬,화,금수
髑,"해골, 해골 , 머리뼈 , 해골 , 머리뼈 좋지않은 의미 문자 ",촉,금,금목
窩,"움집, 움집 , 집 , 굴 , 우묵한 곳 , 간직해 좋지않은 의미 문자 ",와,수,토
膄,"파리할, 파리하다 , 여위다 , 마르다 , 메마르다 , 약하다, 작고 좋지않은 의미 문자 ",수,수,금
娠,"아이 밸, 아이를 배다, 임신하다, 잉태하다 좋지않은 의미 문자 ",신,토,금화
遯,"달아날, 달아나다 , 숨다 , 피하다 , 도망치다 , 회피하다 좋지않은 의미 문자 ",둔,토,화
祼,"강신제,내림굿, 좋지않은 의미 문자 ",관,목,목화
于,"어조사, 어조사, 하다, 가다, 크다, 굽히다, 탄식하다 좋지않은 의미 문자 ",우,수,토성(姓)씨 사용
飪,"익힐,삶을, 익히다 , 너무 익다 , 삶다 , 잘 고아지다 , 곰국 좋지않은 의미 문자 ",임,수,토수
躪,"짓밝을, 짓밟다 좋지않은 의미 문자 ",린,토,화
恤,"불쌍할, 근심하다, 기민을 먹이다, 사랑(친애)하다 좋지않은 의미 문자 ",휼,화,토화
灌,"물댈, 물대다, 따르다, 흘러들다, 씻다, 끼얹다, 마시다 좋지않은 의미 문자 ",관,수,목화
阪,"비탈, 비탈, 둑, 제방, 비탈지다 좋지않은 의미 문자 ",판,토,수화
敵,"원수,대적할, 원수(仇), 짝(匹), 필적하다, 겨루다(當) 좋지않은 의미 문자 ",적,금,금목
拷,"칠, 치다, 자백을 받기 위하여 세게 때리다, 빼앗다, 약탈하다 좋지않은 의미 문자 ",고,목,목
蜺,"애매미(매미이름), 애매미 , 무지개 좋지않은 의미 문자 ",예,수,토
餬,"죽,풀칠할, 죽(물이 많은 음식) , 풀 , 죽을 먹다 , 풀칠하다 좋지않은 의미 문자 ",호,수,토
夕,"저녁, 저녁 , 밤 , 밤일 , 끝, 서쪽 , 쏠리다,저물다 좋지않은 의미 문자 ",석,수,금목
腐,"썩을, 썩다 , 썩히다 , 냄새가 나다 ,상하다 , 궁형 좋지않은 의미 문자 ",부,수,수
澁,"얿을, 떫다 , 껄끄럽다 , 더듬다 , 어렵다 좋지않은 의미 문자 ",삽,수,금수
儢,"힘쓰지 아니할, 힘쓰지 아니하다 , 내키지 않다 , 물리치다 , 게으르다 좋지않은 의미 문자 ",려,화,화
謨,"꾀, 꾀(하다), 없다(無) 좋지않은 의미 문자 ",모,금,수
耖,"써레, 써레 , 두벌갈이하다 좋지않은 의미 문자 ",초,토,금
瘋,"두풍(편두통), 두풍 , 미치광이 , 문둥병 , 편두통 좋지않은 의미 문자 ",풍,수,수토
釭,"살촉,등불, 살촉 , 등잔 , 등불 , 바퀴통 쇠 좋지않은 의미 문자 ",공,금,목토
翦,"자를, 자르다 , 끊다, 깎다 , 멸망시키다 , 제거하다 좋지않은 의미 문자 ",전,화,금화
磊,"돌무더기, 돌이 많은 모양, 뜻이 크다 좋지않은 의미 문자 ",뢰,금,화
透,"사무칠, 뛰다, 환하다, 사무치다, 놀라다, 던지다 좋지않은 의미 문자 ",투,토,화
危,"위태할, 위태롭다, 두려워하다, 높다, 바르다, 마룻대, 별 이름 좋지않은 의미 문자 ",위,수,토
廁,"뒷간, 뒷간, 돼지우리, 물가, 곁 좋지않은 의미 문자 ",측,목,금목
咸,"다,짤, 다 , 모두 , 소금기 좋지않은 의미 문자 ",함,수,토수성(姓)씨 사용
芎,"궁둥이, 궁궁이 좋지않은 의미 문자 ",궁,목,목토
啣,"재갈머금을, 재갈을 물리다 , 물다 좋지않은 의미 문자 ",함,수,토수
匸,"감출, 감추다, 덮다 좋지않은 의미 문자 ",혜,수,토
奔,"달아날, 달리다, 달아나다, 패주하다, 예를 갖추지 않고 혼인하다 좋지않은 의미 문자 ",분,목,수화
櫪,"말구유, 말에게 먹이를 주는 그릇 좋지않은 의미 문자 ",역,목,토목
細,"가늘, 가늘다 , 자세하다, 미미하다 , 작다 , 적다 , 드물다 좋지않은 의미 문자 ",세,목,금
嶮,"험할, 험하다 , 깨뜨리다 , 괴로워하다 좋지않은 의미 문자 ",험,토,토수
吼,"울부짖을, 울다 좋지않은 의미 문자 ",후,수,토
嬾,"게으를, 게으르다 , 태만하다, 엎드리다 , 눕다 좋지않은 의미 문자 ",란,토,화
頒,"나눌, 나누다, 구분하다, 하사하다, 반포하다, 큰 머리, 많다 좋지않은 의미 문자 ",반,화,수화
沒,"빠질, 빠지다, 다하다, 마치다, 지나치다, 숨다, 죽다, 탐하다, 빼앗다 좋지않은 의미 문자 ",몰,수,수화
恣,"방자할, 방자하다 , 방종하다 좋지않은 의미 문자 ",자,화,금
魈,"도깨비, 도깨비 , 산매 좋지않은 의미 문자 ",소,화,금
辣,"매울, (맛이) 맵다 좋지않은 의미 문자 ",날,금,화
胱,"오줌통, 오줌통, 방광 좋지않은 의미 문자 ",광,수,목토
拓,"박을, 넓히다, 개척하다 , 확장시키다 , 크다 , 줍다 , 들어 올리다 좋지않은 의미 문자 ",탁,목,화목
謾,"속일, 속이다 , 헐뜯다 , 느리다 , 아득하다 , 겁내다 , 업신여기다 , 게으르다 , 넓다 좋지않은 의미 문자 ",만,금,수화
湎,"빠질, 빠지다 , 술에 빠지다 , 변천하다 좋지않은 의미 문자 ",면,수,수화
隕,"떨어질, 떨어지다 떨어뜨리다, 잃다, 무너지다, 사로잡히다, 죽다 죽이다(=殞) 좋지않은 의미 문자 ",운,토,토화
暴,"사나울, 사납다, 급하다, 갑자기, 모질게 굴다, 불끈 일어나다 좋지않은 의미 문자 ",포,화,수
燃,"불탈, 불 타다, 불 태우다, 사르다 타다 좋지않은 의미 문자 ",연,화,토화
黵,"문신할, 문신하다 , 때가 묻다 , 더러워지다 , 검게 칠하다 좋지않은 의미 문자 ",담,수,화수
觰,"뿔 밑동, 뿔 밑동 , 쇠뿔이 가로난 것 , 크다 좋지않은 의미 문자 ",다,목,화
幰,"수레 휘장, 수레 휘장(둘러치는 장막) , 수레 앙장(휘장) 좋지않은 의미 문자 ",헌,목,토화
痘,"역질, 역질 , 마마 천연두 좋지않은 의미 문자 ",두,수,화
螂,"사마귀, 사마귀, 쇠똥구리 좋지않은 의미 문자 ",낭,수,화토
瘐,"병들, 병들다 , 근심하여 앓다 , 옥사하다 , 속박하다 , 시름 좋지않은 의미 문자 ",유,수,토
蟊,"해충, 해충, 가뢰 , 기 좋지않은 의미 문자 ",모,수,수
犵,"오랑캐 이름, 오랑캐 이름 좋지않은 의미 문자 ",힐,토,토화
疵,"허물, 흉, 흠, 흉보다 좋지않은 의미 문자 ",자,수,금
堙,"막을,막힐, 막다, 묻다, 흙을 쌓다, 흙메 좋지않은 의미 문자 ",인,토,토화
煢,"외로울,근심할, 외롭다 , 근심하다, 시름 겨워하는 모양 , 주사위 좋지않은 의미 문자 ",경,화,목토
猥,"외람할, 뒤섞이다, 더럽다, 성하다, 많다, 쌓다 좋지않은 의미 문자 ",외,토,토
焌,"태울,구울, 굽다, 태우다 좋지않은 의미 문자 ",준,화,금화
衝,"충돌할,찌를, 찌르다, 부딪치다, 병거, 병선, 요긴한 목, 요소 좋지않은 의미 문자 ",충,화,금토
鯢,"도롱뇽, 도롱뇽 , 고래의 암컷 , 잔고기 좋지않은 의미 문자 ",예,수,토
惘,"멍할, 멍하다 , 심심하다 , 황급하다 , 멍한 모양 좋지않은 의미 문자 ",망,화,수토
狽,"이리, 이리 좋지않은 의미 문자 ",패,토,수
栮,"목이버섯, 목이버섯 좋지않은 의미 문자 ",이,목,토
墜,"떨어질, 떨어지다, 떨어뜨리다, 무너지다 좋지않은 의미 문자 ",추,토,금
瑕,"허물, (옥의) 티, 허물, 틈 좋지않은 의미 문자 ",하,금,토
淖,"진흙, 진흙 , 진창 , 젖다 좋지않은 의미 문자 ",요,수,토
蚪,"올챙이, 올챙이 , 규룡 , 뿔 없는 용 좋지않은 의미 문자 ",두,수,화
虘,"모질, 모질다 , 사납다 좋지않은 의미 문자 ",초,목,금
痴,"어리석을, 어리석다(癡의 俗字) 좋지않은 의미 문자 ",치,수,금
妄,"망녕될, 허망하다, 망녕되다, 거짓, 무릇 좋지않은 의미 문자 ",망,토,수토
眦,"흘길, 흘기다 , 눈초리가 찢어지다 , 보다 , 눈초리 좋지않은 의미 문자 ",자,목,금
瘢,"흉터, 흉터, 자국 좋지않은 의미 문자 ",반,수,수화
輕,"가벼울, 가볍다, 가벼이 여기다, 가벼이 하다, 가벼이 손쉽게 좋지않은 의미 문자 ",경,화,목토
蝦,"두꺼비, 두꺼비, 새우 좋지않은 의미 문자 ",하,수,토
隙,"틈, 틈 좋지않은 의미 문자 ",극,토,목
腓,"장딴지,피할, 장딴지 , 다리 베는 형벌, 피하다, 덮다 좋지않은 의미 문자 ",비,수,수
鴒,"할미새, 할미새 , 옹거(할미새) 좋지않은 의미 문자 ",령,화,화토
瘀,"어혈질, 어혈지다 , 앓다 , 병 좋지않은 의미 문자 ",어,수,토
鬖,"헝클어질, 헝클어지다 , 머리 늘어진 모양 좋지않은 의미 문자 ",삼,화,금수
襯,"속옷, 속옷 , 가까이하다 , 베풀다, 드러내다 , 돕다 , 나타내다 좋지않은 의미 문자 ",친,목,금화
欺,"속일, 속이다, 거짓, 기만, 허위 좋지않은 의미 문자 ",기,금,목
隸,"종, 종 , 죄인 , 붙다, 좇다 , 부리다 , 살피다 좋지않은 의미 문자 ",예,수,토
汚,"더러울, 괸 물, 낮다, 더럽다, 더럽히다, 빨다, 굽히다 좋지않은 의미 문자 ",오,수,토
惡,"미워할, 좋지않은 의미 문자 ",오,화,토
悢,"슬퍼할, 슬퍼하다 , 서러워 하다 , 돌보다, 뜻을 얻지 못하다 좋지않은 의미 문자 ",량,화,화토
醜,"더러울, 추하다, 못생기다, 미워하다, 더럽다 좋지않은 의미 문자 ",추,금,금
枕,"베개, 베개(를 베다), 침목 좋지않은 의미 문자 ",침,목,금수
瘟,"염병, 염병 , 온역 , 아픈 좋지않은 의미 문자 ",온,수,토화
賓,"손, 손(님), 공경하다, 좇다, 복종하다 좋지않은 의미 문자 ",빈,금,수화성(姓)씨 사용
匾,"납작할, 납작하다 , 낮다 , 현판 , 성의 하나 , 거룻배 좋지않은 의미 문자 ",편,수,수화
櫼,"쐐기, 쐐기 , 삼목 좋지않은 의미 문자 ",첨,목,금수
蚤,"벼룩, 벼룩(잘 뛰며 인축의 피를 빨아먹는 곤충), 일찍, 손톱 좋지않은 의미 문자 ",조,수,금
嗿,"여럿이 먹는 소리, 여럿이 먹는 소리 , 시끄러운 소리 , 많다 좋지않은 의미 문자 ",탐,수,화수
憮,"어루만질, 어루만지다, 멍하다, 놀라다 좋지않은 의미 문자 ",무,화,수
吏,"아전, 관원, 관리, 벼슬아치, 아전 좋지않은 의미 문자 ",리,수,화
吃,"말더듬을, 말이 어색하다, 머뭇거리다 좋지않은 의미 문자 ",흘,수,토화
哽,"목멜,막힐, 목메다 , 막히다 , 더듬거리다 좋지않은 의미 문자 ",경,수,목토
犍,"불친소,거세한소, 불친소(불알을 깐 소) , 짐승 이름 , 불까다 좋지않은 의미 문자 ",건,토,목화
禍,"재앙, 재앙, 재화, 재난, 재앙을 내리다 좋지않은 의미 문자 ",화,목,토
狷,"성급할, 성급하다 , 견개하다 , 뜻이 굳다 좋지않은 의미 문자 ",견,토,목화
翟,"꿩, 꿩, (꿩의 깃으로 장식한) 깃옷, 수레 포장, 오랑캐 좋지않은 의미 문자 ",적,화,금목
馰,"별박이(점박힌 말), 별박이 , 준마 좋지않은 의미 문자 ",적,화,금목
嗔,"성낼, 성내다, 기운이 성한 모양 좋지않은 의미 문자 ",진,수,금화
盹,"졸, 졸다 , 눈감다 , 둔한 눈 , 정성스럽고 간절한 모양 좋지않은 의미 문자 ",순,목,금화
溺,"빠질, 빠지다, 빠뜨리다 좋지않은 의미 문자 ",익,수,토목
稅,"부세, 세금 , 구실 , 놓다 , 거두다 , 벗다 좋지않은 의미 문자 ",세,목,금
囟,"정수리, 정수리 , 숫구멍 좋지않은 의미 문자 ",신,수,금화
幘,"머리쓰개(머리띠), 머리쓰개 좋지않은 의미 문자 ",책,목,금목
蠟,"밀, 밀(꿀찌끼 기름), 밀을 바르다, 밀초(밀로 만든 초) 좋지않은 의미 문자 ",납,수,화수
軫,"수레뒷바퀴, 수레, 돌다, 굽다, 슬퍼하다, 마음 아파하다 좋지않은 의미 문자 ",진,화,금화
衊,"업신여길, 업신여기다 , 욕되게 하다 , 모독하다, 더럽히다 , 멸하다 좋지않은 의미 문자 ",멸,수,수화
敖,"거만할, 거만하다 , 놀다 , 희롱하다 , 시끄럽다 좋지않은 의미 문자 ",오,금,토
絆,"얽거맬, 줄(로 매다) 좋지않은 의미 문자 ",반,목,수화
騫,"이지러질, 이지러지다, (고개를) 들다, 빼다, 허물(愆), 둔하다, 느리다 좋지않은 의미 문자 ",건,화,목화
魍,"도깨비, 도깨비 , 산수ㆍ목석의 정기가 엉겨서 된 요괴 좋지않은 의미 문자 ",망,화,수토
隻,"외짝(하나), 하나, 짝 좋지않은 의미 문자 ",척,화,금목
慨,"슬퍼할, 분개하다, 슬퍼하다, 분개 좋지않은 의미 문자 ",개,화,목
螺,"소라, 고동, 소라 좋지않은 의미 문자 ",나,수,화
帚,"비(빗자루), 비, 대싸리 , 별 이름 , 소제하다 , 쓸다 좋지않은 의미 문자 ",추,목,금
悄,"근심할, 근심하다, 고요하다, 엄하다 좋지않은 의미 문자 ",초,화,금
盡,"다할, 다하다, 가령, 극진하다 좋지않은 의미 문자 ",진,금,금화
蓭,"암자, 암자, 초막 좋지않은 의미 문자 ",암,목,토수
騾,"노새, 노새(암말과 수나귀에서난 새끼) 좋지않은 의미 문자 ",나,화,화
叉,"갈래,아귀, 깎지를 끼다, 가닥이 지다, 가닥, 갈래, 작살, 찌르다 좋지않은 의미 문자 ",차,수,금
埒,"담, 담, 울타리 , 경계 좋지않은 의미 문자 ",날,토,화
吋,"마디, 마디 , 치 , 촌수 , 마음 , 근소 불용문자좋지않은 의미 문자 ",촌,수,금화
愴,"슬플, 슬퍼하다 좋지않은 의미 문자 ",창,화,금토
悵,"원망할, 원망하다 , 한탄하다 , 희망을 잃다 , 슬퍼하다 좋지않은 의미 문자 ",창,화,금토
僢,"등질, 등지다 , 어그러지다 , 어수선하다 좋지않은 의미 문자 ",천,화,금화
饉,"주릴, 흉년(이 들다) 좋지않은 의미 문자 ",근,수,목화
呢,"소곤거릴, 소곤거리다 , 지저귀다 , 의문 조사 좋지않은 의미 문자 ",니,수,화
癌,"암, 암 , 종기 좋지않은 의미 문자 ",암,수,토수
搆,"얽을,이해 못 할, 얽다 , 짓다 , 이루어지다 , 구상하다, 차리다, 화친하다 좋지않은 의미 문자 ",구,목,목
膂,"등골뼈, 등골뼈, 근육의 힘 , 등에 지다 , 힘쓰다 좋지않은 의미 문자 ",려,수,화
拜,"절, 절, 절하다, 받다, 벼슬을 주다, 굽히다 좋지않은 의미 문자 ",배,목,수
曛,"어스레할, 어스레하다, 어둑하다 , 황혼 좋지않은 의미 문자 ",훈,화,토화
互,"어지러질, 서로, 어긋 매기다, 번갈아 들다 좋지않은 의미 문자 ",호,수,토
咤,"꾸짖을, 꾸짖다, 입맛을 다시다, 슬퍼하다, 자랑하다 좋지않은 의미 문자 ",타,수,화
葱,"파(채소), 파 , 부들 , 명검 이름 , 섬섬옥수 좋지않은 의미 문자 ",총,목,금토
靦,"뻔뻔스러울, 뻔뻔스럽다 , 부끄러워하다 , 뻔뻔스러운 모양 , 낯 두꺼운 모양 좋지않은 의미 문자 ",전,화,금화
乏,"모자랄, 모자라다, 가난하다 , 떨어지다 좋지않은 의미 문자 ",핍,금,수
牂,"암양, 양의 암컷 , 배말뚝 , 성하다 좋지않은 의미 문자 ",장,목,금토
倮,"벗을, 벗다 ,알몸 좋지않은 의미 문자 ",라,화,화
詫,"속일, 속이다 , 자랑하다 , 놀라워하다 , 괴이하게 여기다 , 고하다 좋지않은 의미 문자 ",타,금,화
幱,"내리닫이, 내리닫이(어린아이의 옷) 좋지않은 의미 문자 ",란,목,화
痿,"저릴, 저리다 , 마비되다 , 잘름거리다 , 바람 맞다 , 각기병 좋지않은 의미 문자 ",위,수,토
波,"물결, 물결, 물결이 일다, 움직이다, 눈 영채(안광) 좋지않은 의미 문자 ",파,수,수
跌,"거꾸러질, 넘어지다, 지나치다, 잘못하다, 틀리다, 달리다, 방종하다 좋지않은 의미 문자 ",질,토,금화
夾,"낄, 끼다, 가깝다, 부축하다, 겸하다, 좁다 좋지않은 의미 문자 ",협,목,토수
憂,"근심할, 근심, 병, 친상, 앓다, 고생하다, 가엾게 여기다 좋지않은 의미 문자 ",우,화,토
狡,"교활할, 간교하다, 미치다, 재빠르다, 해치다, 교활할 좋지않은 의미 문자 ",교,토,목
鮟,"아귀, 아귀 좋지않은 의미 문자 ",안,수,토화
靡,"쓰러질, 휩쓸다, 쓰러지다, 쏠리다, 호사하다(사치함), 다하다, 없다(無), 말다(금지), 물가 좋지않은 의미 문자 ",미,수,수
犀,"무소, 무소, 무소뿔, 박씨 좋지않은 의미 문자 ",서,토,금
囈,"잠꼬대, 잠꼬대 , 허황된 말 , 놀라다 , 깜짝 놀라다 , 자면서 생긋거리며 웃다 좋지않은 의미 문자 ",예,수,토
嘔,"토할, 토하다, 게우다, 노래하다(謳) 좋지않은 의미 문자 ",구,수,목
疾,"병, 병, 괴로움, 앓다, 괴로워하다, 근심하다, 미워하다 좋지않은 의미 문자 ",질,수,금화
唳,"울(울다), 울다 , 새가 울다 , 새 소리 좋지않은 의미 문자 ",여,수,토
炊,"불땔, 불을 때다, 불다(=吹) 좋지않은 의미 문자 ",취,화,금
簠,"제기 이름, 제기 이름 좋지않은 의미 문자 ",보,목,수
欷,"한숨 쉴, 한숨 쉬다 , 흐느끼다 좋지않은 의미 문자 ",희,화,토
葦,"갈대, 갈대, 거룻배 좋지않은 의미 문자 ",위,목,토
崎,"산길험한, 험하다, 갑(바다로 뾰족하게 내민 땅) 좋지않은 의미 문자 ",기,토,목
腿,"넓적다리, 넓적다리 뒤쪽 살과 장딴지의 살 좋지않은 의미 문자 ",퇴,수,화
灘,"여울, 물살이 센 좁은 물가 좋지않은 의미 문자 ",탄,수,화
噫,"탄식할, 탄식하다, 한숨을 쉬다 좋지않은 의미 문자 ",희,수,토
喀,"토할, 토하다, 뱉다, 구토하다 좋지않은 의미 문자 ",객,수,목
冤,"원통할, 원통하다, 억울하다, 원죄, 원한, 원수 좋지않은 의미 문자 ",원,목,토화
纏,"얽을, 얽다, 얽히다, 감다, 감기다 좋지않은 의미 문자 ",전,목,금화
掠,"노략질할, 노략질하다, 볼기를 치다, 매질하다 좋지않은 의미 문자 ",약,목,토목
烏,"까마귀, 까마귀 , 어찌 , 탄식하는 소리 , 환호하는 소리 , 검다 , 탄식하다 좋지않은 의미 문자 ",오,화,토
戮,"죽일, 죽이다, 육시하다, 죽음, 욕보이다, 죄주다 좋지않은 의미 문자 ",륙,금,화목
芩,"풀이름, 풀이름 좋지않은 의미 문자 ",금,목,목수
焉,"어찌, 어찌, 이에, 이, 어조사, 형용어사 좋지않은 의미 문자 ",언,화,토화
迍,"머뭇거릴, 머뭇거리다 , 망설이다 좋지않은 의미 문자 ",둔,토,화
欬,"기침, 기침 , 기침하다 좋지않은 의미 문자 ",해,화,토
離,"떠날, 떠나다, 떼어놓다, 떨어지다, 갈라지다, 흩어지다, 분산하다, 가르다 좋지않은 의미 문자 ",이,화,토
小,"작을, 작다 , 적다 , 협소하다, 적다고 여기다, 삼가다 좋지않은 의미 문자 ",소,수,금
窶,"가난할, 가난하다 , 가난하여 예의를 차리지 못하다 , 언덕 , 높고 좁은 곳 좋지않은 의미 문자 ",구,수,목
焭,"근심할, 근심하다 , 외롭다 , 시름 겨워하는 모양 , 주사위 좋지않은 의미 문자 ",경,화,목토
鈗,"병기, 병기, 창의 일종 좋지않은 의미 문자 ",윤,금,토화
熔,"쇠 녹일, 쇠를 녹이다, 주조하다, 녹이다, 녹다, 거푸집 좋지않은 의미 문자 ",용,화,토
嘶,"울,흐느낄, 울다, 말이 울다, 흐느끼다, 짐승이나 새 등의 울음이 애처롭다 좋지않은 의미 문자 ",시,수,금
黴,"곰팡이, 곰팡이(가 생기다), 창병(매독), 때가 끼어 얼굴이 검다 좋지않은 의미 문자 ",미,수,수
騾,"노새, 노새(암말과 수나귀에서난 새끼) 좋지않은 의미 문자 ",라,화,화
苫,"이엉, (짚으로 엮은)이엉 , 거적 좋지않은 의미 문자 ",점,목,금수
捗,"칠, 치다 , 때리다 , 거두다 , 수렴하다 좋지않은 의미 문자 ",척,목,금목
痹,"저릴, 저리다, 마비되다 , 각기병, 습병 , 류머티즘 좋지않은 의미 문자 ",비,수,수
厦,"문간방, 큰 집, 곁방, 행랑, 廈의 俗字 좋지않은 의미 문자 ",하,목,토
